"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2018","541.40","549.52","549.60","521.23","","-1.63%"
"08/01/2018","550.36","559.03","560.48","531.82","","-1.50%"
"07/01/2018","558.72","553.57","563.14","541.32","","0.96%"
"06/01/2018","553.41","575.22","596.01","543.49","","-4.22%"
"05/01/2018","577.77","585.57","593.26","570.88","","-1.37%"
"04/01/2018","585.79","581.40","592.09","572.42","","0.95%"
"03/01/2018","580.28","593.52","609.02","575.74","","-2.59%"
"02/01/2018","595.68","626.17","628.16","568.19","","-4.82%"
"01/01/2018","625.84","585.30","635.09","585.30","","6.44%"
"12/01/2017","587.95","570.55","588.85","558.88","","3.17%"
"11/01/2017","569.88","569.19","584.97","567.24","","0.45%"
"10/01/2017","567.30","545.72","570.11","545.50","","4.06%"
"09/01/2017","545.15","549.22","561.01","541.37","","-0.65%"
"08/01/2017","548.72","546.31","550.28","531.74","","0.47%"
"07/01/2017","546.13","524.13","550.85","518.15","","4.25%"
"06/01/2017","523.89","517.69","528.39","516.63","","1.15%"
"05/01/2017","517.92","508.60","520.62","504.17","","1.87%"
"04/01/2017","508.40","502.91","511.03","494.91","","1.18%"
"03/01/2017","502.47","487.33","507.36","482.87","","2.81%"
"02/01/2017","488.74","474.31","493.90","472.42","","3.35%"
"01/01/2017","472.89","447.72","475.67","447.14","","5.44%"
"12/01/2016","448.50","453.54","462.43","440.63","","-1.00%"
"11/01/2016","453.05","461.89","466.22","442.34","","-2.15%"
"10/01/2016","463.02","471.02","477.23","460.90","","-1.49%"
"09/01/2016","470.02","464.88","479.30","456.38","","1.13%"
"08/01/2016","464.77","458.20","473.78","454.32","","1.43%"
"07/01/2016","458.20","434.46","460.41","428.02","","5.47%"
"06/01/2016","434.42","426.92","443.03","413.59","","1.79%"
"05/01/2016","426.79","435.25","436.85","411.81","","-2.06%"
"04/01/2016","435.76","434.15","447.66","420.34","","-0.06%"
"03/01/2016","436.00","391.30","436.49","390.87","","11.53%"
"02/01/2016","390.91","395.76","399.78","378.25","","-1.19%"
"01/01/2016","395.62","429.79","429.82","372.85","","-7.86%"
"12/01/2015","429.38","429.38","437.23","408.39","","0.34%"
"11/01/2015","427.93","439.00","450.29","421.18","","-2.69%"
"10/01/2015","439.74","409.15","452.56","409.15","","7.42%"
"09/01/2015","409.37","420.39","430.17","399.23","","-2.50%"
"08/01/2015","419.86","467.95","467.98","399.06","","-10.35%"
"07/01/2015","468.35","494.73","499.24","458.75","","-5.36%"
"06/01/2015","494.85","517.69","519.25","484.53","","-4.53%"
"05/01/2015","518.32","532.58","535.75","516.25","","-2.71%"
"04/01/2015","532.74","503.25","544.58","502.44","","5.77%"
"03/01/2015","503.69","507.07","509.24","488.57","","-0.62%"
"02/01/2015","506.82","492.90","509.02","491.28","","2.78%"
"01/01/2015","493.11","485.44","502.79","474.96","","1.58%"
"12/01/2014","485.44","493.19","494.15","466.40","","-2.29%"
"11/01/2014","496.80","502.31","502.31","488.59","","-1.40%"
"10/01/2014","503.87","491.06","504.62","479.45","","2.58%"
"09/01/2014","491.22","529.30","535.00","488.61","","-7.21%"
"08/01/2014","529.40","526.55","533.77","511.46","","0.51%"
"07/01/2014","526.69","511.04","531.14","510.79","","3.06%"
"06/01/2014","511.06","504.05","512.27","503.20","","1.37%"
"05/01/2014","504.17","490.63","507.28","488.44","","2.84%"
"04/01/2014","490.25","484.95","502.30","484.43","","0.94%"
"03/01/2014","485.68","473.81","485.68","463.16","","1.82%"
"02/01/2014","476.98","458.20","478.28","448.49","","4.02%"
"01/01/2014","458.53","483.32","484.28","456.19","","-5.16%"
"12/01/2013","483.48","488.78","490.51","471.05","","-1.24%"
"11/01/2013","489.55","495.70","496.42","475.77","","-1.35%"
"10/01/2013","496.26","474.13","502.59","473.77","","4.61%"
"09/01/2013","474.40","449.28","489.97","449.12","","5.72%"
"08/01/2013","448.74","454.28","465.67","436.36","","-1.27%"
"07/01/2013","454.51","446.12","465.15","434.28","","1.82%"
"06/01/2013","446.40","476.88","477.89","421.95","","-6.37%"
"05/01/2013","476.79","499.56","507.21","476.32","","-4.56%"
"04/01/2013","499.57","487.85","499.57","473.89","","2.41%"
"03/01/2013","487.81","497.38","501.36","480.73","","-2.06%"
"02/01/2013","498.06","496.67","504.13","489.67","","0.49%"
"01/01/2013","495.65","484.03","499.19","484.03","","2.70%"
"12/01/2012","482.60","468.67","483.25","465.05","","3.21%"
"11/01/2012","467.60","457.10","468.21","446.58","","2.00%"
"10/01/2012","458.42","455.28","464.03","452.15","","0.52%"
"09/01/2012","456.05","431.71","457.83","425.24","","5.60%"
"08/01/2012","431.86","434.07","444.88","427.61","","-0.57%"
"07/01/2012","434.32","420.75","435.05","410.58","","3.40%"
"06/01/2012","420.03","406.16","423.41","392.12","","3.47%"
"05/01/2012","405.95","455.33","459.83","401.67","","-10.79%"
"04/01/2012","455.04","454.97","459.40","444.15","","0.26%"
"03/01/2012","453.87","467.86","468.19","448.08","","-3.29%"
"02/01/2012","469.33","445.96","470.12","443.84","","4.99%"
"01/01/2012","447.04","404.88","448.38","403.66","","10.26%"
"12/01/2011","405.44","411.38","426.53","390.56","","-0.20%"
"11/01/2011","406.24","439.93","442.29","386.94","","-7.96%"
"10/01/2011","441.37","388.49","450.31","366.78","","12.93%"
"09/01/2011","390.83","453.38","461.06","370.55","","-13.75%"
"08/01/2011","453.16","498.15","506.58","413.01","","-8.96%"
"07/01/2011","497.76","496.59","508.98","485.28","","0.26%"
"06/01/2011","496.46","508.56","511.41","473.67","","-2.27%"
"05/01/2011","508.00","521.08","523.38","485.23","","-2.49%"
"04/01/2011","520.98","501.35","526.52","501.07","","4.03%"
"03/01/2011","500.80","477.20","501.17","457.67","","5.06%"
"02/01/2011","476.69","488.22","497.49","468.41","","-2.10%"
"01/01/2011","486.94","494.73","502.01","484.83","","-1.47%"
"12/01/2010","494.21","463.52","494.63","462.04","","6.81%"
"11/01/2010","462.69","475.02","499.87","461.22","","-2.11%"
"10/01/2010","472.65","460.79","483.40","460.78","","2.55%"
"09/01/2010","460.88","412.91","463.53","412.80","","11.66%"
"08/01/2010","412.75","419.91","433.50","410.15","","-1.65%"
"07/01/2010","419.68","392.05","421.47","384.31","","6.89%"
"06/01/2010","392.64","389.92","417.61","373.84","","0.86%"
"05/01/2010","389.30","431.42","433.43","363.26","","-10.90%"
"04/01/2010","436.93","432.14","450.73","431.74","","1.36%"
"03/01/2010","431.08","402.98","434.73","402.74","","7.33%"
"02/01/2010","401.65","397.34","408.02","381.73","","0.99%"
"01/01/2010","397.70","423.34","441.97","395.13","","-6.02%"
"12/01/2009","423.19","409.74","423.49","401.54","","3.57%"
"11/01/2009","408.59","393.47","423.42","388.50","","2.66%"
"10/01/2009","398.01","400.85","422.71","388.62","","-0.48%"
"09/01/2009","399.92","366.51","402.70","363.31","","9.17%"
"08/01/2009","366.33","370.38","379.05","356.04","","-0.77%"
"07/01/2009","369.16","329.76","369.70","310.36","","11.92%"
"06/01/2009","329.84","327.22","344.23","311.54","","0.76%"
"05/01/2009","327.34","285.12","327.49","284.43","","14.68%"
"04/01/2009","285.45","247.24","285.98","246.07","","15.47%"
"03/01/2009","247.21","212.87","259.30","204.44","","14.26%"
"02/01/2009","216.35","229.53","240.32","215.78","","-6.21%"
"01/01/2009","230.68","250.60","268.07","219.55","","-7.53%"
"12/01/2008","249.46","227.13","257.32","216.26","","9.17%"
"11/01/2008","228.51","249.29","271.04","196.90","","-6.89%"
"10/01/2008","245.42","326.89","333.23","200.44","","-24.80%"
"09/01/2008","326.35","392.54","392.64","315.70","","-16.97%"
"08/01/2008","393.03","421.15","421.20","385.09","","-6.68%"
"07/01/2008","421.15","433.26","437.39","404.93","","-2.81%"
"06/01/2008","433.31","486.54","489.59","432.92","","-10.82%"
"05/01/2008","485.86","494.94","507.64","479.90","","-1.83%"
"04/01/2008","494.90","458.92","499.17","455.81","","7.87%"
"03/01/2008","458.79","480.80","480.80","422.56","","-5.88%"
"02/01/2008","487.45","471.50","497.37","459.39","","4.25%"
"01/01/2008","467.56","533.01","534.38","428.94","","-12.35%"
"12/01/2007","533.47","538.05","555.36","501.75","","-0.85%"
"11/01/2007","538.05","587.25","589.74","504.54","","-7.95%"
"10/01/2007","584.53","532.93","587.37","532.93","","9.82%"
"09/01/2007","532.24","473.87","532.68","469.51","","12.58%"
"08/01/2007","472.78","482.02","482.25","402.38","","-2.02%"
"07/01/2007","482.53","462.69","505.29","461.84","","4.59%"
"06/01/2007","461.37","444.65","468.16","442.78","","3.95%"
"05/01/2007","443.84","424.62","444.73","423.17","","4.56%"
"04/01/2007","424.48","405.13","431.80","402.73","","5.01%"
"03/01/2007","404.22","393.26","405.05","371.90","","2.89%"
"02/01/2007","392.85","391.53","410.36","390.69","","0.62%"
"01/01/2007","390.43","393.61","399.52","378.71","","-0.57%"
"12/01/2006","392.68","377.92","393.29","372.39","","3.96%"
"11/01/2006","377.71","356.67","377.71","356.67","","6.22%"
"10/01/2006","355.59","340.84","355.59","338.78","","4.34%"
"09/01/2006","340.79","334.93","403.64","328.85","","1.80%"
"08/01/2006","334.78","325.17","335.78","323.02","","2.95%"
"07/01/2006","325.18","324.52","388.46","309.42","","0.26%"
"06/01/2006","324.34","325.67","329.35","298.94","","-0.42%"
"05/01/2006","325.71","349.62","364.59","322.78","","-6.86%"
"04/01/2006","349.69","325.79","352.68","325.78","","7.43%"
"03/01/2006","325.52","321.48","326.55","312.31","","1.20%"
"02/01/2006","321.66","324.09","324.67","313.26","","-0.61%"
"01/01/2006","323.62","303.08","323.62","302.79","","6.87%"
"12/01/2005","302.83","287.79","303.53","287.01","","4.96%"
"11/01/2005","288.52","273.52","289.89","273.52","","5.96%"
