"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2011","13.61","14.13","14.23","12.91","2.58M","-2.23%"
"01/02/2011","13.92","15.04","15.55","13.57","2.58M","-7.14%"
"01/01/2011","14.99","15.31","15.77","14.85","2.17M","-0.99%"
"01/12/2010","15.14","14.14","15.22","14.06","1.15M","9.16%"
"01/11/2010","13.87","12.89","13.92","12.81","2.71M","8.19%"
"01/10/2010","12.82","12.75","12.93","12.18","2.66M","0.71%"
"01/09/2010","12.73","12.30","13.13","12.30","1.19M","3.58%"
"01/08/2010","12.29","12.48","12.86","12.16","2.10M","0.90%"
"01/07/2010","12.18","11.69","12.27","11.37","2.06M","3.13%"
"01/06/2010","11.81","11.81","12.54","11.59","1.93M","-1.67%"
"01/05/2010","12.01","12.28","12.51","11.43","1.11M","-2.67%"
"01/04/2010","12.34","12.09","12.65","11.89","1.41M","3.70%"
"01/03/2010","11.90","11.43","12.02","11.23","1.25M","8.48%"
"01/02/2010","10.97","11.09","11.45","10.54","2.44M","-2.49%"
"01/01/2010","11.25","11.89","11.99","10.89","2.10M","-1.83%"
"01/12/2009","11.46","10.40","11.49","10.27","1.01M","12.24%"
"01/11/2009","10.21","10.02","11.13","9.92","1.83M","3.55%"
"01/10/2009","9.86","10.70","10.72","9.86","2.02M","-6.63%"
"01/09/2009","10.56","9.94","10.67","9.83","1.85M","11.16%"
"01/08/2009","9.50","9.89","9.99","9.39","1.55M","-5.00%"
"01/07/2009","10.00","9.26","10.19","9.12","2.26M","11.73%"
"01/06/2009","8.95","9.99","10.03","8.52","1.09M","-10.14%"
"01/05/2009","9.96","9.59","10.55","9.18","3.57M","3.00%"
"01/04/2009","9.67","7.81","9.80","7.81","1.90M","25.58%"
"01/03/2009","7.70","6.66","7.88","6.57","1.47M","13.40%"
"01/02/2009","6.79","6.59","7.19","6.53","779.02K","2.72%"
"01/01/2009","6.61","7.00","7.21","6.38","816.03K","-1.49%"
"01/12/2008","6.71","7.12","7.39","6.27","608.84K","-4.96%"
"01/11/2008","7.06","8.01","8.20","6.40","698.22K","-10.63%"
"01/10/2008","7.90","8.83","8.98","6.50","1.48M","-8.88%"
"01/09/2008","8.67","9.97","10.24","8.36","2.57M","-16.63%"
"01/08/2008","10.40","9.91","10.82","9.59","769.41K","6.01%"
"01/07/2008","9.81","10.30","10.46","9.18","1.46M","-7.28%"
"01/06/2008","10.58","12.31","12.31","10.43","1.77M","-12.99%"
"01/05/2008","12.16","12.65","13.05","11.85","1.92M","-2.41%"
"01/04/2008","12.46","11.85","12.99","11.80","1.38M","5.59%"
"01/03/2008","11.80","11.59","12.58","10.73","901.38K","-0.17%"
"01/02/2008","11.82","10.93","12.20","10.66","335.48K","11.51%"
"01/01/2008","10.60","11.71","12.10","10.30","738.48K","-9.01%"
"01/12/2007","11.65","12.18","12.51","11.16","103.35K","-5.21%"
"01/11/2007","12.29","13.23","13.32","11.65","285.79K","-12.78%"
"01/10/2007","14.09","13.93","14.20","13.37","423.17K","4.29%"
"01/09/2007","13.51","13.17","13.60","12.89","23.37K","6.29%"
"01/08/2007","12.71","12.93","13.70","12.00","9.63K","-7.90%"
