"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2010","252.79","233.49","255.12","233.49","","5.55%"
"06/01/2010","239.50","242.14","255.69","235.67","","-1.13%"
"05/01/2010","242.23","263.21","263.21","226.92","","-7.52%"
"04/01/2010","261.94","261.21","270.92","258.30","","2.07%"
"03/01/2010","256.63","236.30","257.34","236.30","","10.13%"
"02/01/2010","233.02","239.29","243.14","228.50","","-1.86%"
"01/01/2010","237.44","240.79","246.75","236.63","","0.91%"
"12/01/2009","235.29","227.50","235.29","224.38","","6.59%"
"11/01/2009","220.74","219.25","235.99","216.56","","0.43%"
"10/01/2009","219.79","224.78","237.50","217.08","","-3.54%"
"09/01/2009","227.86","211.80","231.81","209.28","","5.39%"
"08/01/2009","216.20","206.55","218.83","205.67","","7.14%"
"07/01/2009","201.79","187.48","201.79","174.92","","9.45%"
"06/01/2009","184.37","193.31","195.86","177.12","","-1.37%"
"05/01/2009","186.94","182.29","191.59","175.69","","5.81%"
"04/01/2009","176.68","147.58","176.68","147.58","","22.41%"
"03/01/2009","144.34","135.47","146.39","129.64","","2.37%"
"02/01/2009","141.00","147.59","163.13","139.57","","-7.78%"
"01/01/2009","152.89","159.71","168.54","144.77","","-0.21%"
"12/01/2008","153.21","149.52","156.10","144.93","","-2.67%"
"11/01/2008","157.42","174.66","184.13","141.94","","-8.34%"
"10/01/2008","171.75","213.70","213.74","151.12","","-20.06%"
"09/01/2008","214.84","248.22","251.26","210.55","","-13.48%"
"08/01/2008","248.30","236.83","253.01","234.98","","4.03%"
"07/01/2008","238.69","240.02","246.53","221.23","","-3.23%"
"06/01/2008","246.65","273.94","276.82","246.33","","-10.89%"
"05/01/2008","276.79","281.29","287.84","273.12","","0.37%"
"04/01/2008","275.78","275.37","277.14","263.29","","3.23%"
"03/01/2008","267.16","268.70","271.46","248.63","","-2.01%"
"02/01/2008","272.63","274.44","280.42","260.50","","1.76%"
"01/01/2008","267.92","295.35","295.35","250.31","","-11.43%"
"12/01/2007","302.48","308.33","312.10","297.36","","-2.38%"
"11/01/2007","309.86","334.43","334.43","292.78","","-8.23%"
"10/01/2007","337.65","328.11","340.50","324.78","","3.86%"
"09/01/2007","325.10","329.61","331.77","310.10","","-0.70%"
"08/01/2007","327.38","328.76","333.52","302.25","","-2.27%"
"07/01/2007","334.97","344.01","352.54","327.43","","-2.50%"
"06/01/2007","343.55","355.88","355.88","337.30","","-3.01%"
"05/01/2007","354.23","345.00","354.23","343.21","","3.55%"
"04/01/2007","342.09","334.09","343.64","334.09","","2.94%"
"03/01/2007","332.33","314.38","332.33","309.50","","4.54%"
"02/01/2007","317.91","325.92","335.54","317.91","","-1.39%"
"01/01/2007","322.40","318.96","323.54","313.12","","2.39%"
"12/01/2006","314.86","297.00","314.86","297.00","","6.13%"
"11/01/2006","296.67","292.12","301.31","291.12","","1.82%"
"10/01/2006","291.38","277.54","292.56","275.81","","4.59%"
"09/01/2006","278.58","271.04","278.58","266.14","","3.66%"
"08/01/2006","268.75","258.66","268.75","257.97","","3.79%"
"07/01/2006","258.93","259.28","259.98","245.10","","0.73%"
"06/01/2006","257.06","258.00","260.79","237.45","","-0.18%"
"05/01/2006","257.53","275.94","282.01","244.02","","-5.39%"
"04/01/2006","272.19","269.91","275.02","266.31","","1.60%"
"03/01/2006","267.91","262.83","269.65","257.49","","2.66%"
"02/01/2006","260.97","253.15","263.83","251.22","","4.56%"
"01/01/2006","249.58","236.46","250.08","236.46","","6.00%"
"12/01/2005","235.45","228.11","235.69","228.11","","4.34%"
"11/01/2005","225.65","217.03","226.66","217.03","","4.11%"
"10/01/2005","216.75","227.62","228.23","210.85","","-4.33%"
"09/01/2005","226.55","218.49","226.55","218.49","","4.71%"
"08/01/2005","216.36","215.20","217.49","214.38","","0.79%"
"07/01/2005","214.67","208.24","214.67","206.40","","3.64%"
"06/01/2005","207.13","200.92","208.29","200.92","","4.13%"
"05/01/2005","198.91","188.92","198.91","188.40","","5.97%"
"04/01/2005","187.70","195.19","198.93","187.70","","-3.14%"
"03/01/2005","193.78","196.18","196.83","191.72","","-0.85%"
"02/01/2005","195.45","190.32","196.72","190.32","","3.33%"
"01/01/2005","189.15","182.70","189.15","182.52","","4.32%"
"12/01/2004","181.31","176.25","181.31","176.25","","3.47%"
"11/01/2004","175.23","168.68","175.23","168.68","","4.43%"
"10/01/2004","167.79","167.74","169.50","165.22","","0.83%"
"09/01/2004","166.41","163.15","167.53","163.15","","2.47%"
"08/01/2004","162.40","164.27","164.63","157.28","","-1.25%"
"07/01/2004","164.46","169.43","169.43","162.58","","-3.10%"
"06/01/2004","169.72","163.32","169.72","163.32","","3.46%"
"05/01/2004","164.05","166.59","166.60","157.31","","-1.04%"
"04/01/2004","165.77","165.60","170.91","165.60","","1.17%"
