"Date","Price","Open","High","Low","Change %"
"10/07/2021","103.260","103.260","103.260","103.260","-0.02%"
"10/06/2021","103.280","103.360","103.360","103.040","-0.65%"
"10/05/2021","103.960","103.960","103.960","103.530","0.37%"
"10/04/2021","103.580","103.580","103.580","103.580","-0.03%"
"10/01/2021","103.610","103.610","103.610","103.610","0.24%"
"09/30/2021","103.360","103.250","103.740","103.250","-0.09%"
"09/29/2021","103.450","103.750","103.750","103.450","0.06%"
"09/28/2021","103.390","103.660","103.670","103.390","-0.07%"
"09/27/2021","103.460","103.680","103.970","103.460","-0.70%"
"09/23/2021","104.190","104.560","104.560","104.190","-0.06%"
"09/22/2021","104.250","104.520","104.520","104.250","-0.22%"
"09/21/2021","104.480","104.460","104.480","104.460","0.34%"
"09/20/2021","104.130","103.940","104.490","103.940","0.14%"
"09/17/2021","103.980","104.280","104.290","103.980","-0.12%"
"09/16/2021","104.100","104.370","104.370","104.100","-0.19%"
"09/15/2021","104.300","104.580","104.580","104.300","-0.16%"
"09/14/2021","104.470","104.480","104.560","104.180","0.25%"
"09/13/2021","104.210","104.550","104.550","104.170","-0.13%"
"09/10/2021","104.350","104.680","104.680","104.350","-0.31%"
"09/09/2021","104.670","104.670","104.670","104.670","0.34%"
"09/07/2021","104.320","104.320","104.320","103.970","0.05%"
"09/06/2021","104.270","104.270","104.270","104.270","-0.38%"
"09/03/2021","104.670","104.870","104.870","104.390","0.32%"
"09/02/2021","104.340","104.780","104.780","104.340","-0.20%"
"09/01/2021","104.550","104.550","104.550","104.550","-0.10%"
"08/31/2021","104.650","104.650","104.650","104.650","-0.16%"
"08/30/2021","104.820","104.820","104.820","104.820","0.08%"
"08/27/2021","104.740","104.860","104.870","104.740","0.01%"
"08/26/2021","104.730","104.450","104.730","104.450","-0.51%"
"08/25/2021","105.270","104.960","105.270","104.960","-0.11%"
"08/24/2021","105.390","105.300","105.390","105.300","-0.15%"
"08/20/2021","105.550","105.180","105.550","105.180","0.40%"
"08/18/2021","105.130","105.130","105.130","105.130","-0.07%"
"08/17/2021","105.200","105.200","105.200","105.200","0.09%"
"08/16/2021","105.110","105.110","105.110","105.110","0.15%"
"08/12/2021","104.950","105.240","105.240","104.950","0.08%"
"08/11/2021","104.870","105.120","105.120","104.870","-0.37%"
"08/10/2021","105.260","104.990","105.260","104.990","0.26%"
"08/09/2021","104.990","104.990","104.990","104.990","-0.41%"
"08/06/2021","105.420","105.120","105.420","105.120","0.38%"
"08/05/2021","105.020","105.370","105.370","105.020","0.05%"
"08/04/2021","104.970","104.970","105.460","104.970","-0.28%"
"08/03/2021","105.270","104.900","105.270","104.900","0.59%"
"07/30/2021","104.650","104.650","104.650","104.650","-0.05%"
"07/29/2021","104.700","104.330","105.160","104.330","-0.24%"
"07/28/2021","104.950","105.020","105.020","104.950","0.00%"
"07/27/2021","104.950","104.950","104.950","104.950","-0.07%"
"07/26/2021","105.020","105.020","105.020","105.020","0.50%"
"07/23/2021","104.500","104.810","104.810","104.500","0.01%"
"07/22/2021","104.490","104.490","104.490","104.190","-0.11%"
"07/21/2021","104.600","104.600","104.600","104.600","0.11%"
"07/20/2021","104.490","104.490","104.490","104.190","0.47%"
"07/19/2021","104.000","104.360","104.360","104.000","0.13%"
"07/16/2021","103.860","104.220","104.220","103.860","-0.03%"
"07/15/2021","103.890","104.200","104.200","103.890","-0.02%"
"07/14/2021","103.910","103.940","103.940","103.610","0.10%"
"07/13/2021","103.810","103.920","103.920","103.620","0.19%"
"07/12/2021","103.610","103.900","103.900","103.610","0.14%"
"07/09/2021","103.470","103.850","103.850","103.210","-0.26%"
"07/08/2021","103.740","104.140","104.140","103.740","0.19%"
"07/07/2021","103.540","103.970","103.970","103.540","0.48%"
"07/06/2021","103.050","103.520","103.520","103.050","-0.07%"
"07/05/2021","103.120","103.120","103.120","103.120","-0.10%"
"07/02/2021","103.220","103.490","103.490","103.220","0.04%"
"07/01/2021","103.180","102.700","103.180","102.700","0.00%"
"06/30/2021","103.180","103.180","103.180","103.180","0.43%"
"06/29/2021","102.740","103.070","103.070","102.740","-0.06%"
"06/28/2021","102.800","102.610","102.800","102.610","-0.47%"
"06/25/2021","103.290","103.290","103.290","103.290","0.30%"
"06/24/2021","102.980","102.640","102.980","102.640","0.30%"
"06/23/2021","102.670","103.130","103.130","102.670","-0.32%"
"06/22/2021","103.000","103.000","103.000","103.000","-0.24%"
"06/21/2021","103.250","102.930","103.250","102.930","0.36%"
"06/18/2021","102.880","103.270","103.270","102.880","-0.39%"
"06/17/2021","103.280","102.940","103.280","102.940","0.17%"
"06/16/2021","103.100","103.650","103.650","103.100","-0.12%"
"06/15/2021","103.220","103.620","103.620","103.220","-0.13%"
"06/14/2021","103.350","103.520","103.770","103.350","-0.14%"
"06/11/2021","103.490","103.320","103.970","103.320","0.03%"
"06/10/2021","103.460","103.200","103.460","103.200","0.06%"
"06/09/2021","103.400","103.400","103.400","103.400","0.71%"
"06/08/2021","102.670","102.980","102.980","102.670","0.00%"
"06/04/2021","102.670","102.690","102.940","102.670","0.00%"
"06/03/2021","102.670","102.960","102.960","102.650","0.12%"
"06/01/2021","102.550","102.550","102.930","102.550","0.15%"
"05/31/2021","102.400","102.400","102.400","102.400","-0.38%"
"05/28/2021","102.790","102.730","102.790","102.380","-0.25%"
"05/27/2021","103.050","103.050","103.050","103.050","0.05%"
"05/26/2021","103.000","102.520","103.000","102.520","0.89%"
"05/25/2021","102.090","102.420","102.420","102.090","0.10%"
"05/24/2021","101.990","101.990","101.990","101.990","0.07%"
"05/21/2021","101.920","102.190","102.190","101.920","0.61%"
"05/20/2021","101.300","101.650","101.650","101.300","-0.30%"
"05/19/2021","101.600","101.460","101.600","101.180","0.24%"
"05/18/2021","101.360","101.590","101.590","101.360","-0.14%"
"05/17/2021","101.500","101.860","101.860","101.500","-0.37%"
"05/14/2021","101.880","101.820","101.880","101.820","-0.01%"
"05/13/2021","101.890","101.890","101.890","101.440","-0.19%"
"05/12/2021","102.080","102.610","102.610","102.080","-0.16%"
"05/11/2021","102.240","102.730","102.730","102.240","0.05%"
"05/10/2021","102.190","102.710","102.710","102.190","-0.50%"
"05/07/2021","102.700","102.700","102.700","102.700","-0.07%"
"05/06/2021","102.770","103.120","103.120","102.770","-0.08%"
"05/05/2021","102.850","103.110","103.130","102.850","-0.12%"
"05/04/2021","102.970","102.970","102.970","102.620","0.50%"
"05/03/2021","102.460","102.840","102.840","102.460","-0.14%"
"04/30/2021","102.600","102.900","102.900","102.600","0.13%"
"04/29/2021","102.470","103.170","103.170","102.470","-0.28%"
"04/28/2021","102.760","103.040","103.040","102.760","-0.30%"
"04/27/2021","103.070","103.400","103.400","103.070","-0.13%"
"04/26/2021","103.200","103.410","103.410","102.860","-0.36%"
"04/23/2021","103.570","103.520","103.570","103.170","0.30%"
"04/22/2021","103.260","103.620","103.620","103.260","-0.13%"
"04/21/2021","103.390","103.110","103.390","103.110","0.45%"
"04/20/2021","102.930","103.260","103.310","102.930","-0.62%"
"04/19/2021","103.570","103.290","103.570","103.290","0.37%"
"04/16/2021","103.190","103.470","103.470","103.190","0.00%"
"04/15/2021","103.190","103.400","103.400","103.160","-0.15%"
"04/14/2021","103.340","103.610","103.610","103.340","0.00%"
"04/13/2021","103.340","103.160","103.390","103.160","0.01%"
"04/12/2021","103.330","103.680","103.680","103.330","0.08%"
"04/09/2021","103.250","103.440","103.490","103.250","-0.41%"
"04/08/2021","103.670","103.880","103.880","103.670","-0.10%"
"04/07/2021","103.770","103.990","103.990","103.770","0.11%"
"04/06/2021","103.660","103.890","103.890","103.660","-0.24%"
"04/01/2021","103.910","103.730","103.910","103.730","0.32%"
"03/31/2021","103.580","103.780","103.780","103.580","-0.09%"
"03/30/2021","103.670","103.890","103.890","103.670","-0.34%"
"03/29/2021","104.020","104.240","104.240","104.020","-0.08%"
"03/26/2021","104.100","104.210","104.210","103.950","-0.40%"
"03/25/2021","104.520","104.300","104.520","104.300","0.35%"
"03/24/2021","104.160","104.410","104.410","104.160","0.12%"
"03/23/2021","104.030","104.030","104.030","104.030","0.27%"
"03/22/2021","103.750","103.760","103.980","103.750","0.08%"
"03/19/2021","103.670","104.020","104.020","103.670","0.45%"
"03/18/2021","103.210","103.450","103.450","103.210","-0.41%"
"03/17/2021","103.640","104.030","104.030","103.510","-0.36%"
"03/16/2021","104.010","104.240","104.260","104.010","0.15%"
"03/15/2021","103.850","104.150","104.150","103.850","-0.27%"
"03/12/2021","104.130","103.820","104.130","103.820","0.20%"
"03/11/2021","103.920","104.110","104.300","103.920","0.15%"
"03/10/2021","103.760","103.510","103.760","103.510","0.15%"
"03/09/2021","103.600","103.540","103.600","103.310","0.11%"
"03/08/2021","103.490","103.210","103.490","103.210","0.27%"
"03/05/2021","103.210","103.210","103.210","103.210","-0.11%"
"03/04/2021","103.320","103.540","103.560","103.320","-0.47%"
"03/03/2021","103.810","103.790","103.810","103.500","0.12%"
"03/02/2021","103.690","103.440","103.690","103.440","-0.03%"
"03/01/2021","103.720","103.410","103.720","103.410","0.96%"
"02/26/2021","102.730","102.620","102.970","102.620","-0.18%"
"02/25/2021","102.920","103.190","103.190","102.920","-0.07%"
"02/24/2021","102.990","103.360","103.360","102.990","-0.61%"
"02/23/2021","103.620","103.770","103.770","103.440","0.17%"
"02/22/2021","103.440","103.690","103.790","103.440","-0.16%"
"02/19/2021","103.610","103.850","103.860","103.610","-0.38%"
"02/18/2021","104.010","104.260","104.270","104.010","-0.17%"
"02/17/2021","104.190","104.290","104.290","104.110","-0.12%"
"02/16/2021","104.310","104.560","104.560","104.310","-0.07%"
"02/15/2021","104.380","104.690","104.690","104.380","-0.24%"
