"Date","Price","Open","High","Low","Change %"
"05/23/2025","101.380","101.270","101.420","101.240","0.16%"
"05/22/2025","101.220","101.210","101.260","101.210","0.04%"
"05/21/2025","101.180","101.230","101.280","101.130","-0.08%"
"05/20/2025","101.260","101.260","101.340","101.240","0.00%"
"05/19/2025","101.260","101.230","101.260","101.120","0.03%"
"05/16/2025","101.230","101.200","101.270","101.200","0.09%"
"05/15/2025","101.140","101.040","101.150","101.010","0.09%"
"05/14/2025","101.050","101.000","101.090","101.000","-0.01%"
"05/13/2025","101.060","101.050","101.100","101.020","0.00%"
"05/12/2025","101.060","101.270","101.270","101.060","-0.32%"
"05/09/2025","101.380","101.360","101.390","101.300","-0.05%"
"05/08/2025","101.430","101.510","101.530","101.430","-0.09%"
"05/07/2025","101.520","101.430","101.530","101.410","0.07%"
"05/06/2025","101.450","101.430","101.450","101.380","0.04%"
"05/05/2025","101.410","101.360","101.420","101.330","-0.01%"
"05/02/2025","101.420","101.450","101.460","101.360","-0.08%"
"04/30/2025","101.500","101.420","101.520","101.420","0.07%"
"04/29/2025","101.430","101.460","101.510","101.410","-0.09%"
"04/28/2025","101.520","101.460","101.520","101.420","0.04%"
"04/25/2025","101.480","101.540","101.560","101.470","-0.13%"
"04/24/2025","101.610","101.420","101.610","101.420","0.21%"
"04/23/2025","101.400","101.450","101.490","101.350","-0.15%"
"04/22/2025","101.550","101.470","101.550","101.370","0.14%"
"04/17/2025","101.410","101.270","101.460","101.160","0.09%"
"04/16/2025","101.320","101.290","101.330","101.240","0.12%"
"04/15/2025","101.200","101.270","101.280","101.180","-0.06%"
"04/14/2025","101.260","101.100","101.300","101.100","0.16%"
"04/11/2025","101.100","101.100","101.140","101.000","0.06%"
"04/10/2025","101.040","100.950","101.110","100.920","-0.11%"
"04/09/2025","101.150","101.000","101.150","101.000","0.18%"
"04/08/2025","100.970","101.100","101.130","100.940","-0.11%"
"04/07/2025","101.080","101.220","101.340","101.000","-0.13%"
"04/04/2025","101.210","101.070","101.300","101.070","0.16%"
"04/03/2025","101.050","101.010","101.050","100.950","0.22%"
"04/02/2025","100.830","100.870","100.910","100.810","0.00%"
"04/01/2025","100.830","100.840","100.900","100.800","0.03%"
"03/31/2025","100.800","100.860","100.900","100.800","0.00%"
"03/28/2025","100.800","100.760","100.800","100.740","0.12%"
"03/27/2025","100.680","100.650","100.690","100.600","0.14%"
"03/26/2025","100.540","100.520","100.560","100.510","0.07%"
"03/25/2025","100.470","100.500","100.510","100.440","-0.03%"
"03/24/2025","100.500","100.460","100.530","100.460","0.01%"
"03/21/2025","100.490","100.400","100.500","100.400","0.13%"
"03/20/2025","100.360","100.420","100.440","100.360","0.05%"
"03/19/2025","100.310","100.390","100.420","100.310","-0.07%"
"03/18/2025","100.380","100.330","100.380","100.300","0.01%"
"03/17/2025","100.370","100.290","100.380","100.230","0.08%"
"03/14/2025","100.290","100.270","100.310","100.200","-0.03%"
"03/13/2025","100.320","100.210","100.340","100.160","0.13%"
"03/12/2025","100.190","100.260","100.300","100.190","-0.07%"
"03/11/2025","100.260","100.220","100.260","100.180","-0.01%"
"03/10/2025","100.270","100.150","100.270","100.150","0.15%"
"03/07/2025","100.120","100.070","100.250","100.060","0.12%"
"03/06/2025","100.000","100.040","100.170","99.950","-0.36%"
"03/05/2025","100.360","100.580","100.590","100.070","-0.52%"
"03/04/2025","100.880","100.780","100.890","100.770","0.15%"
"03/03/2025","100.730","100.810","100.850","100.650","-0.04%"
"02/28/2025","100.770","100.790","100.830","100.750","0.03%"
"02/27/2025","100.740","100.720","100.750","100.630","0.08%"
"02/26/2025","100.660","100.620","100.700","100.600","0.06%"
"02/25/2025","100.600","100.570","100.660","100.540","0.06%"
"02/24/2025","100.540","100.470","100.570","100.460","0.07%"
"02/21/2025","100.470","100.380","100.500","100.370","0.10%"
"02/20/2025","100.370","100.310","100.410","100.280","0.09%"
"02/19/2025","100.280","100.420","100.460","100.250","-0.16%"
"02/18/2025","100.440","100.400","100.470","100.400","0.00%"
"02/17/2025","100.440","100.370","100.460","100.320","-0.01%"
"02/14/2025","100.450","100.540","100.560","100.450","-0.12%"
"02/13/2025","100.570","100.470","100.610","100.420","0.15%"
"02/12/2025","100.420","100.500","100.500","100.380","-0.10%"
"02/11/2025","100.520","100.630","100.660","100.480","-0.16%"
"02/10/2025","100.680","100.650","100.700","100.610","0.07%"
"02/07/2025","100.610","100.690","100.710","100.540","-0.07%"
"02/06/2025","100.680","100.630","100.700","100.560","-0.02%"
"02/05/2025","100.700","100.660","100.740","100.620","0.10%"
"02/04/2025","100.600","100.600","100.610","100.530","0.00%"
"02/03/2025","100.600","100.500","100.650","100.470","0.14%"
"01/31/2025","100.460","100.270","100.520","100.240","0.21%"
"01/30/2025","100.250","100.070","100.290","100.050","0.21%"
"01/29/2025","100.040","100.100","100.130","100.040","-0.01%"
"01/28/2025","100.050","100.030","100.090","99.980","0.01%"
